date,payee,expenditure_code,description,amount,committee_name,position
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",2264,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST (C)(4) SERVED AS THE INTERMEDIARY.,2222,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",2021,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",1917,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,"MILLION VOTER PROJECT ACTION FUND - YES ON EE, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",CONTRIBUTION,"STAFF TIME, MILLION VOTER PROJECT ACTION FUND - YES ON EE, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS 1418520",1697,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,UPLAND IX DBA MOBILE COMMONS,CONTRIBUTION,"TELEPHONE SERVICE, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",1675,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CONGREGATIONS ORGANIZED FOR PROPHETIC ENGAGEMENT,CONTRIBUTION,"SIGNATURE GATHERING MOBILIZATION, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",1463,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS,,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST (C)(4) SERVED AS THE INTERMEDIARY.,1455,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,UPLAND IX DBA MOBILE COMMONS,CONTRIBUTION,"TELEPHONE SERVICE, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",1353,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",1251,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",1066,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",1066,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",823,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",823,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",823,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",823,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",823,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",823,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",823,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",823,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",823,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",823,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,CALIFORNIA CALLS ACTION FUND,CONTRIBUTION,"STAFF TIME, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",822,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,DOLORES HUERTA FOUNDATION ACTION FUND,CONTRIBUTION,"SIGNATURE GATHERING MOBILIZATION, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",574,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,UPLAND IX DBA MOBILE COMMONS,CONTRIBUTION,"TELEPHONE SERVICE, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",521,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,UPLAND IX DBA MOBILE COMMONS,CONTRIBUTION,"TELEPHONE SERVICE, MILLION VOTER PROJECT ACTION FUND - YES ON EE, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS 1418520",520,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,STATE COMPENSATION INSURANCE FUND,OFFICE EXPENSES,,267,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,DEMOCRAT DIRECT LLC,CONTRIBUTION,"PRINTING, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",163,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,MELINDA EALY,CONTRIBUTION,"POSTAGE, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",124,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,UBER,OFFICE EXPENSES,,98,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,DEMOCRAT DIRECT LLC,CONTRIBUTION,"OFFICE SUPPLIES, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",51,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,ZAC MAYBURY,CONTRIBUTION,"WEBSITE DEVELOPMENT, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",50,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
,DEMOCRAT DIRECT LLC,CONTRIBUTION,"FOOD & BEVERAGES FOR EVENT, SCHOOLS AND COMMUNITIES FIRST SPONSORED BY A COALITION OF SOCIAL JUSTICE ORGANIZATIONS REPRESENTING FAMILIES AND STUDENTS 1403098",45,CALIFORNIA CALLS ACTION FUND FOR SCHOOLS AND COMMUNITIES FIRST - YES ON 15 (NONPROFIT 501 (C)(4)),support
